,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
3295,FUBTUT_clean,4.3692,3.24837,4.36596,1.16534,0,0,1093.28,938.161,0.551118,0.472923,0,Co,No,
12600,WITLOC_clean,4.19539,3.24826,4.19539,1.56885,0,0,458.486,292.243,0.421764,0.268835,0,Zn,Yes,Zn
161,AHUTIH01_clean,4.18118,3.24781,4.17968,2.06338,0,0,427.879,207.368,0.43156,0.209152,0,La,Yes,La
13294,XOFTOC_clean,3.90687,3.24733,3.8989,2.48425,0,0,74.7254,30.0797,0.392222,0.157884,0,"Sm,Cu",Yes,"Sm,Cu"
796,BIHRER_clean,6.18268,3.24702,5.61476,1.25322,0,0,701.968,560.13,0.468808,0.374082,0,Cu,Yes,Cu
553,AYOYEU_clean,4.82669,3.2469,4.82669,1.28934,0,0,617.042,478.572,0.425227,0.329802,0,Co,No,
8093,ONODOM_clean,5.43775,3.24635,5.43775,1.30639,0,0,851.738,651.979,0.473941,0.362788,0,Ni,Yes,Ni
9611,REGLOG_clean,4.5216,3.24604,4.5216,2.07119,0,0,892.502,430.913,0.529283,0.255546,0,Cd,Yes,Cd
6311,LITCUO_clean,5.34738,3.24586,5.34067,1.05342,0,0,1076.27,1021.69,0.569063,0.540203,0,Co,Yes,Co
2296,EFOGOX_clean,6.79171,3.24561,6.78442,1.02093,0,0,1067.69,1045.8,0.557368,0.545943,0,Cd,No,
7748,NUYNAY_clean,6.39583,3.24521,6.39583,1.29195,0,0,891.995,690.423,0.506445,0.391999,0,Ti,Yes,Ti
12867,WUXMAD_clean,3.83437,3.24506,3.8301,2.7164,0,0,189.796,69.8705,0.368065,0.135497,0,Zr,No,
7632,NOHKUS_clean,4.5036,3.24475,4.49023,1.91526,0,0,575.233,300.342,0.395637,0.206571,0,"Eu,Na",Yes,"Eu,Na"
7664,NOSHIO_clean,5.46118,3.24444,5.46118,1.79774,0,0,1323.54,736.225,0.586129,0.326037,0,U,Yes,U
6334,LIXWEV_clean,5.08233,3.24401,5.02865,1.80159,0,0,858.109,476.307,0.497756,0.276287,0,Fe,Yes,Fe
11075,TUYJII_clean,4.15574,3.24372,4.15574,1.33393,0,0,495.064,371.133,0.452608,0.339305,0,Cd,No,
2666,EVEGER_clean,7.47303,3.24345,7.4645,1.48602,0,0,758.258,510.262,0.509439,0.342822,0,"Yb,Mn",Yes,Mn
10347,SIWZOP02_clean,3.5184,3.24337,3.5184,1.31057,0,0,32.266,24.6198,0.465882,0.35548,0,Mg,No,
966,BUPFAU_clean,9.57988,3.2431,9.57988,1.39183,0,0,1632.38,1172.83,0.630183,0.452773,0,Cu,Yes,Cu
11454,UNOTOH_clean,3.99709,3.24249,3.99709,1.34176,0,0,326.754,243.527,0.445629,0.332123,0,Cu,Yes,Cu
14176,ZEZPAX01_clean,4.97284,3.24197,4.97284,1.39461,0,0,941.775,675.297,0.564044,0.404446,0,Dy,Yes,Dy
734,BETFIR_clean,4.51714,3.24158,3.88245,1.34051,0,0,712.937,531.841,0.533187,0.39775,0,Ce,Yes,Ce
10008,RUYKAZ_clean,7.28414,3.24137,7.26263,1.08415,0,0,1226.15,1130.98,0.537762,0.496022,0,Ag,Yes,Ag
9591,RAZXIA04_clean,4.36297,3.24134,4.36297,1.80861,0,0,293.6,162.335,0.387178,0.214075,0,"Co,K",No,
11536,UVASAM01_clean,4.76973,3.24089,4.75934,1.22201,0,0,425.803,348.445,0.450522,0.368673,0,Zn,No,
1619,DAFSEL_clean,3.64157,3.24074,3.64157,1.69217,0,0,143.407,84.7475,0.425122,0.251229,0,Zn,Yes,Zn
1731,DAXJET01_clean,3.49947,3.24056,3.47991,1.38026,0,0,18.0398,13.0698,0.486396,0.352395,0,Fe,No,
